사용일자,노선명,역ID,역명,승차총승객수,하차총승객수,등록일자,호선,구,동,상세주소,전화번호,상세주소_역이름
20191219,5호선,2535,종로3가,18848.0,17752.0,20191222,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191219,5호선,2535,종로3가,18848.0,17752.0,20191222,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191220,1호선,153,종로3가,41893.0,40376.0,20191223,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191220,1호선,153,종로3가,41893.0,40376.0,20191223,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191220,3호선,319,종로3가,14174.0,17950.0,20191223,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191220,3호선,319,종로3가,14174.0,17950.0,20191223,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191220,5호선,2535,종로3가,20366.0,20352.0,20191223,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191220,5호선,2535,종로3가,20366.0,20352.0,20191223,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191221,1호선,153,종로3가,40091.0,39780.0,20191224,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191221,1호선,153,종로3가,40091.0,39780.0,20191224,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191221,3호선,319,종로3가,9542.0,14880.0,20191224,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191221,3호선,319,종로3가,9542.0,14880.0,20191224,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191221,5호선,2535,종로3가,20237.0,19807.0,20191224,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
