company,date,closing_price
에스티팜,2018.02.01,"42,700"
에스티팜,2018.01.31,"43,650"
에스티팜,2018.01.30,"43,200"
에스티팜,2018.01.29,"44,500"
에스티팜,2018.01.26,"44,000"
에스티팜,2018.01.25,"45,250"
에스티팜,2018.01.24,"45,800"
에스티팜,2018.01.23,"45,600"
에스티팜,2018.01.22,"43,850"
에스티팜,2018.01.19,"45,200"
에스티팜,2018.01.18,"45,500"
에스티팜,2018.01.17,"38,950"
에스티팜,2018.01.16,"39,000"
에스티팜,2018.01.15,"37,700"
에스티팜,2018.01.12,"37,350"
에스티팜,2018.01.11,"36,050"
에스티팜,2018.01.10,"32,150"
에스티팜,2018.01.09,"31,250"
에스티팜,2018.01.08,"31,950"
에스티팜,2018.01.05,"32,450"
에스티팜,2018.01.04,"31,700"
에스티팜,2018.01.03,"32,350"
에스티팜,2018.01.02,"32,200"
에스티팜,2017.12.28,"33,050"
에스티팜,2017.12.27,"32,800"
에스티팜,2017.12.26,"32,500"
에스티팜,2017.12.22,"31,650"
에스티팜,2017.12.21,"30,850"
에스티팜,2017.12.20,"30,950"
에스티팜,2017.12.19,"30,350"
에스티팜,2017.12.18,"31,000"
에스티팜,2017.12.15,"31,700"
에스티팜,2017.12.14,"31,700"
에스티팜,2017.12.13,"32,200"
에스티팜,2017.12.12,"32,250"
에스티팜,2017.12.11,"32,400"
에스티팜,2017.12.08,"31,450"
에스티팜,2017.12.07,"32,050"
에스티팜,2017.12.06,"32,050"
에스티팜,2017.12.05,"33,650"
에스티팜,2017.12.04,"36,600"
에스티팜,2017.12.01,"36,350"
에스티팜,2017.11.30,"35,100"
에스티팜,2017.11.29,"36,000"
에스티팜,2017.11.28,"36,200"
에스티팜,2017.11.27,"36,600"
에스티팜,2017.11.24,"36,400"
에스티팜,2017.11.23,"36,200"
에스티팜,2017.11.22,"35,050"
에스티팜,2017.11.21,"36,500"
에스티팜,2017.11.20,"36,050"
에스티팜,2017.11.17,"34,900"
에스티팜,2017.11.16,"36,000"
에스티팜,2017.11.15,"36,700"
에스티팜,2017.11.14,"36,500"
에스티팜,2017.11.13,"35,850"
에스티팜,2017.11.10,"34,800"
에스티팜,2017.11.09,"34,250"
에스티팜,2017.11.08,"34,650"
에스티팜,2017.11.07,"33,750"
